class;source;target;total;path
DownloadExternalFile;0;0;0;src/main/java/net/sf/jabref/external/DownloadExternalFile.java
GeneralFetcher;0;0;0;src/main/java/net/sf/jabref/importer/fetcher/GeneralFetcher.java
UnicodeToReadableCharMap;0;0;0;src/main/java/net/sf/jabref/logic/util/strings/UnicodeToReadableCharMap.java
EntryTableTransferHandler;0;0;0;src/main/java/net/sf/jabref/gui/groups/EntryTableTransferHandler.java
DatabasePropertiesDialog;0;0;0;src/main/java/net/sf/jabref/gui/dbproperties/DatabasePropertiesDialog.java
FieldFormatterCleanupsPanel;0;0;0;src/main/java/net/sf/jabref/gui/cleanup/FieldFormatterCleanupsPanel.java
EntryEditorPrefsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/EntryEditorPrefsTab.java
AppearancePrefsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/AppearancePrefsTab.java
PushToApplicationButton;0;0;0;src/main/java/net/sf/jabref/external/push/PushToApplicationButton.java
RtfCharMap;0;0;0;src/main/java/net/sf/jabref/logic/util/strings/RtfCharMap.java
Author;0;0;0;src/main/java/net/sf/jabref/model/entry/Author.java
RepecNepImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/RepecNepImporter.java
PreferencesDialog;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/PreferencesDialog.java
AuthorList;0;0;0;src/main/java/net/sf/jabref/model/entry/AuthorList.java
ExternalFileTypeEntryEditor;0;0;0;src/main/java/net/sf/jabref/external/ExternalFileTypeEntryEditor.java
EndnoteImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/EndnoteImporter.java
DatabaseImporter;0;0;0;src/main/java/net/sf/jabref/sql/importer/DatabaseImporter.java
WriteXMPAction;0;0;0;src/main/java/net/sf/jabref/external/WriteXMPAction.java
LabelPatternPanel;0;0;0;src/main/java/net/sf/jabref/gui/labelpattern/LabelPatternPanel.java
PreviewPrefsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/PreviewPrefsTab.java
BibtexCaseChanger;0;0;0;src/main/java/net/sf/jabref/bst/BibtexCaseChanger.java
MainTableDataModel;0;0;0;src/main/java/net/sf/jabref/gui/maintable/MainTableDataModel.java
FontSelectorDialog;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/FontSelectorDialog.java
DuplicateCheck;0;0;0;src/main/java/net/sf/jabref/model/DuplicateCheck.java
OOUtil;0;0;0;src/main/java/net/sf/jabref/logic/openoffice/OOUtil.java
JabRefCLI;0;0;0;src/main/java/net/sf/jabref/cli/JabRefCLI.java
ImportMenuItem;0;0;0;src/main/java/net/sf/jabref/importer/ImportMenuItem.java
XmpPrefsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/XmpPrefsTab.java
DBConnectDialog;0;0;0;src/main/java/net/sf/jabref/sql/DBConnectDialog.java
CitationManager;0;0;0;src/main/java/net/sf/jabref/gui/openoffice/CitationManager.java
SidePaneManager;0;0;0;src/main/java/net/sf/jabref/gui/SidePaneManager.java
BibtexWidth;0;0;0;src/main/java/net/sf/jabref/bst/BibtexWidth.java
FromAuxDialog;0;0;0;src/main/java/net/sf/jabref/gui/auximport/FromAuxDialog.java
OvidImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/OvidImporter.java
ReplaceStringDialog;0;0;0;src/main/java/net/sf/jabref/gui/ReplaceStringDialog.java
RegExpFileSearch;0;0;0;src/main/java/net/sf/jabref/external/RegExpFileSearch.java
GrammarBasedSearchRule;0;0;0;src/main/java/net/sf/jabref/logic/search/rules/GrammarBasedSearchRule.java
OpenDocumentRepresentation;0;0;0;src/main/java/net/sf/jabref/exporter/OpenDocumentRepresentation.java
OOCalcDatabase;0;0;0;src/main/java/net/sf/jabref/exporter/OOCalcDatabase.java
PreambleEditor;0;0;0;src/main/java/net/sf/jabref/gui/PreambleEditor.java
DuplicateSearch;0;0;0;src/main/java/net/sf/jabref/gui/DuplicateSearch.java
AutoGroupDialog;0;0;0;src/main/java/net/sf/jabref/gui/groups/AutoGroupDialog.java
JSONEntryParser;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/JSONEntryParser.java
MoveFileAction;0;0;0;src/main/java/net/sf/jabref/external/MoveFileAction.java
FileLinksUpgradeWarning;0;0;0;src/main/java/net/sf/jabref/migrations/FileLinksUpgradeWarning.java
CustomExportDialog;0;0;0;src/main/java/net/sf/jabref/exporter/CustomExportDialog.java
GroupAddRemoveDialog;0;0;0;src/main/java/net/sf/jabref/gui/groups/GroupAddRemoveDialog.java
SilverPlatterImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/SilverPlatterImporter.java
AutoCompleteSupport;0;0;0;src/main/java/net/sf/jabref/gui/autocompleter/AutoCompleteSupport.java
BibtexEntryTypes;0;0;0;src/main/java/net/sf/jabref/model/entry/BibtexEntryTypes.java
DbImportAction;0;0;0;src/main/java/net/sf/jabref/sql/importer/DbImportAction.java
SpecialMainTableColumns;0;0;0;src/main/java/net/sf/jabref/gui/maintable/SpecialMainTableColumns.java
GenFieldsCustomizer;0;0;0;src/main/java/net/sf/jabref/gui/GenFieldsCustomizer.java
ExportCustomizationDialog;0;0;0;src/main/java/net/sf/jabref/exporter/ExportCustomizationDialog.java
NetworkTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/NetworkTab.java
AdvancedTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/AdvancedTab.java
TextField;0;0;0;src/main/java/net/sf/jabref/gui/fieldeditors/TextField.java
FileUpdateMonitor;0;0;0;src/main/java/net/sf/jabref/collab/FileUpdateMonitor.java
