;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total;DAC;LD;MPC
459;MergeEntries;0;0;0;0;42;30;1;125;336;20;1;0;25;162;114;4;6;546;303;43896;331;43844;1;5;43.4;20;6;32143;44047;250;418;68;68;45;44021;2;0;14;14;126;1;0;0;250;5;11;47;1443871620;0;0;0;9;103125;25
460;MergeEntriesDialog;0;0;0;0;0;0;0;4;32;5;6;0;19;53;0;1;1;139;73;43922;71;43886;1;4;27699;1;3;43983;1;251;81;4;4;14;44026;1;0;2;2;245;43840;0;0;47;2;2;60;1354408154;0;0;0;7;0.5;13
461;MergeEntryDOIDialog;0;4;0;4;14;4;2;9;73;5;6;0;19;68;4;2;1;196;107;43900;110;44092;1;3;24.67;11;5;44076;5;252;126;16;16;15;43992;1;0;4;4;260;44080;0;0;77;2;3;39;1443871620;0;0;0;10;0.636363636;37
462;MessageHandler;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;7;1;8;3;0;0;0;1;1;0;0;1;0.33;0;620;5;0;0;0;0;2;0;1;1;5;43893;0;0;0;2;1;4;1438214712;0;0;0;0;0;0
463;MetaData;0;0;0;0;17;6;1;28;185;40;1;0;14;105;688;67;36;458;165;43865;217;19;1;5;23;7;5;24108;27426;414;305;89;89;40;43993;22;0;3;3;26;0.3;0;0;145;29;33;136;1364106558;38;0;38;11;0.666666667;20
464;MetaDataChange;0;3;1;4;1;0;0;2;56;9;0;0;11;37;0;1;7;137;75;43903;42;43843;2;43956;13210;6;5;43953;16438;28;94;12;6;0;0;4;0;1;1;5;0.2;0;0;35;4;8;27;1364106558;6;0;6;8;1;12
465;MimeTypeDetector;0;0;0;1;0;0;1;4;14;4;1;0;2;16;4;3;2;30;19;43895;12;0;1;2;4;2;3;44197;2;487;23;6;6;0;0;2;0;2;2;35;43835;0;0;7;2;2;14;1467979618;0;0;0;0;0;0
466;MinifyNameListFormatter;0;0;0;0;1;0;0;2;19;7;1;0;2;19;21;3;6;80;30;44028;9;43911;1;6;42795;6;3;23012;2;479;47;16;16;12;43910;0;26;2;2;25;44044;0;0;19;1;6;3;1459521143;0;0;0;2;0;2
467;MnemonicAwareAction;0;0;0;0;0;0;7;4;24;3;2;33;1;18;3;33;3;59;24;44063;13;37.3;1;3;5;4;4;2;24504;150;31;6;6;5;44087;1;0;3;3;15;43983;0;0;13;2;3;23;1364106558;0;3;3;2;0;1
468;MODSDatabase;0;0;0;0;3;0;0;8;30;5;1;0;5;24;2;1;3;88;44;43932;19;44034;1;4;6;3;4;22282;45689;591;55;8;8;2;43954;3;0;1;1;5;0.3;0;0;24;4;4;21;1364106558;0;0;0;3;1;3
469;MODSEntry;0;0;3;3;6;24;0;50;182;11;1;0;9;67;39;1;3;333;210;43848;169;44053;1;10;43997;16;6;23408;44078;592;257;47;47;13;44047;1;0;19;16;134;44013;0;3;152;1;10;52;1364106558;0;0;0;6;1055555556;16
470;ModsExportFormat;0;0;0;0;2;0;1;1;17;2;0;0;7;23;1;1;2;73;39;44019;20;26;1;3;12206;4;4;17899;12086;52;47;8;8;2;43834;0;0;4;3;35;43953;0;1;17;0;2;32;1364106558;0;0;0;6;0;6
471;MonitoredURLDownload;0;0;0;0;1;0;1;0;8;2;1;0;2;4;1;4;2;22;10;0;3;0;1;1;2;1;2;0.5;1;253;16;2;2;0;0;2;0;2;2;35;43897;0;0;2;2;1;2;1438214972;0;0;0;1;0;0
472;MonthUtil;0;0;0;0;2;0;1;5;49;6;1;0;2;20;3;12;5;139;38;43851;17;43912;1;8;3;5;4;34700;12086;702;86;22;43897;17;43967;9;0;2;2;35;43922;0;0;32;14;8;15;1447363381;0;0;0;2;0;3
473;MoveFileAction;0;0;0;0;12;14;0;55;124;3;2;0;19;59;0;1;2;217;120;44038;104;43876;1;2;44.5;37;8;12114;19;75;164;36;36;16;44082;1;0;11;11;115;43892;0;0;81;2;2;60;1364106558;0;0;0;10;0.5;25
474;MoveFilesCleanup;0;1;0;1;5;4;0;26;62;2;1;0;8;29;0;2;2;94;51;43999;41;44088;1;2;17;11;4;33604;6;447;65;15;15;1;43952;2;18;4;4;59;3;0;0;36;2;2;4;1460037394;0;0;0;7;1;14
475;MoveGroupChange;0;0;0;0;0;0;4;0;23;5;1;0;1;6;2;4;5;54;19;0;0;38.9;1;5;43983;1;2;11689;1;499;25;1;1;4;44056;1;0;1;1;5;0.7;0;0;8;2;1;3;1455911924;0;0;0;1;0;0
476;MSBibConverter;0;0;0;0;7;14;1;7;47;4;1;0;8;36;6;1;2;143;79;35.4;80;44019;1;3;21.67;33;4;43863;24807;596;108;36;36;11;43870;2;0;10;10;85;43984;0;0;65;2;3;1;1464948628;0;0;0;7;0.133333333;14
477;MSBibDatabase;0;0;0;0;4;0;0;18;52;6;1;0;7;43;0;2;4;132;79;43932;43;44089;1;5;43991;5;4;25934;44045;597;93;15;15;3;43833;4;0;3;3;13;0.5;0;0;47;5;5;31;1364106558;0;0;0;5;1;5
478;MSBibEntry;0;0;0;0;6;15;1;43;185;13;1;0;3;60;42;3;5;322;206;43996;158;44083;1;12;21520;15;4;34335;30376;598;248;51;51;14;43895;29;0;32;32;314;43865;0;0;152;29;12;71;1364106558;0;0;0;4;0.1;10
479;MSBibEntryType;0;0;0;0;0;0;0;0;3;4;2;0;0;7;4;2;2;30;2;0;0;30;1;0;0;0;0;0;0;599;20;0;0;6;43853;0;0;18;18;39;43957;0;0;0;1;0;1;1464948628;0;0;0;0;0;0
480;MSBibExportFormat;0;0;0;0;2;0;1;1;16;2;0;0;7;23;1;3;2;74;39;44019;20;44037;1;3;12206;4;4;16803;12086;51;47;8;8;2;43834;0;0;4;3;35;43953;0;1;17;0;2;32;1364106558;0;0;0;6;0;6
481;MsBibImporter;0;0;1;1;2;0;0;3;18;6;0;0;3;19;15;4;6;85;32;43833;13;44012;1;5;44045;3;3;41275;43922;395;46;8;8;6;43962;0;0;4;2;15;43831;2;0;13;1;5;30;1364106558;0;0;0;3;0;3
482;MSBibMapping;0;0;0;0;0;0;1;8;33;8;1;0;5;18;22;2;7;130;93;0;83;43959;1;6;12175;1;2;27395;1;600;102;6;6;11;44021;7;0;9;9;57;44075;0;0;77;7;6;2;1464948628;0;0;0;3;0;2
483;MySQL;0;0;0;1;0;0;1;7;33;8;1;0;7;30;28;1;6;137;47;36.2;21;0;1;6;30407;9;4;34335;12086;732;117;21;21;0;0;1;79;11;11;84;43923;0;0;21;1;6;2;1460967089;0;0;0;6;0.5;13
484;NamedCompound;0;0;0;0;0;0;0;0;14;6;3;0;1;13;1;50;6;60;21;0;4;30;1;6;12055;1;2;41640;1;301;31;5;5;1;43833;3;0;1;1;5;0.5;0;0;8;3;5;17;1364106558;0;43;43;1;1;2
485;NameFieldAutoCompleter;0;0;0;1;2;8;1;5;56;10;0;0;6;36;25;3;5;188;96;35.4;42;43944;1;9;8;13;6;33270;28550;428;126;29;29;19;43843;0;0;1;1;5;0.1;0;0;62;0;8;38;1364106558;0;0;0;7;0.666666667;13
486;NameFormatter;0;0;0;0;9;4;1;20;85;6;1;0;6;22;9;2;5;204;72;44070;33;38.7;1;5;44053;12;6;44076;43926;568;96;24;24;35;44038;2;0;7;7;75;43984;0;0;52;3;4;19;1468368000;5;0;5;4;0.5;7
487;NameFormatterTab;0;2;0;2;13;10;0;14;124;10;5;0;12;66;17;4;5;346;164;43894;134;43870;3;5;34151;5;5;2;43952;279;247;44;11;11;43894;1;37;5;4;73;1;1;0;119;2;12;55;1364106558;0;0;0;10;0.666666667;14
488;NativeDesktop;0;0;0;0;0;0;0;0;5;5;1;0;0;5;10;6;5;22;8;0;0;44074;1;5;0;0;1;0.63;0;171;9;0;0;4;44073;5;0;1;1;5;44075;0;0;0;6;5;2;1458036065;0;4;4;0;0;0
489;NetworkTab;0;2;0;2;13;4;0;15;80;7;5;0;9;68;0;1;5;189;127;43930;121;43959;1;7;13.71;18;5;43892;20880;280;149;22;22;2;43891;2;0;3;3;24;0.5;0;0;91;2;5;34;1359761910;0;0;0;5;1;15
490;NewDatabaseAction;0;0;0;0;0;0;0;0;12;2;0;0;9;13;0;1;2;38;23;0;14;43961;1;2;43955;1;2;0.96;1;151;27;2;2;2;44080;1;0;1;1;5;0.6;0;0;9;2;2;15;1440751140;0;0;0;8;0.666666667;13
491;NewEntryAction;0;0;0;0;1;0;0;13;39;5;0;0;15;30;0;1;4;71;46;44020;27;43987;1;4;45809;5;4;16803;2;152;57;8;8;4;43988;4;0;1;1;5;0.3;0;0;24;4;4;25;1440751140;0;0;0;9;1;18
492;NewSubDatabaseAction;0;0;0;0;0;0;0;1;12;2;0;0;13;24;0;1;2;49;29;43924;19;43869;1;2;6;2;3;44013;43952;153;35;3;3;2;43926;1;0;1;1;5;0.5;0;0;12;2;2;22;1440751140;0;0;0;12;0.333333333;17
493;NewVersionDialog;0;0;0;0;0;0;0;0;25;4;6;0;8;37;6;2;1;110;71;0;48;43995;2;2;13;1;4;20821;1;216;75;2;2;0;0;2;0;2;2;245;44084;0;0;51;2;1;1;1467115803;0;0;0;2;0;11
494;NoDocumentException;0;0;0;0;0;0;0;0;4;1;3;0;0;2;0;2;1;28;4;0;1;67.9;1;1;1;1;2;0.75;1;259;6;1;1;2;25;0;0;1;1;5;44045;0;0;1;0;1;3;1459277251;0;0;0;0;0;0
