	file	good	path
211	SynchronizeFileField	True	src/main/java/net/sf/jabref/external/SynchronizeFileField.java
212	AutoCompleteListener	True	src/main/java/net/sf/jabref/gui/autocompleter/AutoCompleteListener.java
213	ManageKeywordsAction	True	src/main/java/net/sf/jabref/gui/actions/ManageKeywordsAction.java
214	ExternalFileTypeEditor	True	src/main/java/net/sf/jabref/external/ExternalFileTypeEditor.java
215	IsiImporter	True	src/main/java/net/sf/jabref/importer/fileformat/IsiImporter.java
216	SaveDatabaseAction	True	src/main/java/net/sf/jabref/exporter/SaveDatabaseAction.java
217	FileListEntryEditor	True	src/main/java/net/sf/jabref/gui/FileListEntryEditor.java
218	EntryEditorTab	True	src/main/java/net/sf/jabref/gui/entryeditor/EntryEditorTab.java
219	BibDatabase	True	src/main/java/net/sf/jabref/model/database/BibDatabase.java
220	AuthorListParser	True	src/main/java/net/sf/jabref/model/entry/AuthorListParser.java
221	FieldSetComponent	True	src/main/java/net/sf/jabref/gui/FieldSetComponent.java
222	SearchBar	True	src/main/java/net/sf/jabref/gui/search/SearchBar.java
223	MODSEntry	True	src/main/java/net/sf/jabref/logic/mods/MODSEntry.java
224	LayoutHelper	True	src/main/java/net/sf/jabref/logic/layout/LayoutHelper.java
225	Authors	True	src/main/java/net/sf/jabref/logic/layout/format/Authors.java
226	ImportCustomizationDialog	True	src/main/java/net/sf/jabref/importer/ImportCustomizationDialog.java
227	MSBibEntry	True	src/main/java/net/sf/jabref/logic/msbib/MSBibEntry.java
228	NameFormatterTab	True	src/main/java/net/sf/jabref/gui/preftabs/NameFormatterTab.java
229	FileTab	True	src/main/java/net/sf/jabref/gui/preftabs/FileTab.java
230	BiblioscapeImporter	True	src/main/java/net/sf/jabref/importer/fileformat/BiblioscapeImporter.java
231	GeneralTab	True	src/main/java/net/sf/jabref/gui/preftabs/GeneralTab.java
232	TablePrefsTab	True	src/main/java/net/sf/jabref/gui/preftabs/TablePrefsTab.java
233	AutoDetectPaths	True	src/main/java/net/sf/jabref/gui/openoffice/AutoDetectPaths.java
234	MassSetFieldAction	True	src/main/java/net/sf/jabref/gui/actions/MassSetFieldAction.java
235	RightClickMenu	True	src/main/java/net/sf/jabref/gui/menus/RightClickMenu.java
236	BibtexNameFormatter	True	src/main/java/net/sf/jabref/bst/BibtexNameFormatter.java
237	DownloadExternalFile	True	src/main/java/net/sf/jabref/external/DownloadExternalFile.java
238	GeneralFetcher	True	src/main/java/net/sf/jabref/importer/fetcher/GeneralFetcher.java
239	UnicodeToReadableCharMap	True	src/main/java/net/sf/jabref/logic/util/strings/UnicodeToReadableCharMap.java
240	EntryTableTransferHandler	True	src/main/java/net/sf/jabref/gui/groups/EntryTableTransferHandler.java
241	DatabasePropertiesDialog	True	src/main/java/net/sf/jabref/gui/dbproperties/DatabasePropertiesDialog.java
242	FieldFormatterCleanupsPanel	True	src/main/java/net/sf/jabref/gui/cleanup/FieldFormatterCleanupsPanel.java
243	EntryEditorPrefsTab	True	src/main/java/net/sf/jabref/gui/preftabs/EntryEditorPrefsTab.java
244	AppearancePrefsTab	True	src/main/java/net/sf/jabref/gui/preftabs/AppearancePrefsTab.java
245	PushToApplicationButton	True	src/main/java/net/sf/jabref/external/push/PushToApplicationButton.java
246	RtfCharMap	True	src/main/java/net/sf/jabref/logic/util/strings/RtfCharMap.java
247	Author	True	src/main/java/net/sf/jabref/model/entry/Author.java
248	RepecNepImporter	True	src/main/java/net/sf/jabref/importer/fileformat/RepecNepImporter.java
249	PreferencesDialog	True	src/main/java/net/sf/jabref/gui/preftabs/PreferencesDialog.java
250	AuthorList	True	src/main/java/net/sf/jabref/model/entry/AuthorList.java
251	ExternalFileTypeEntryEditor	True	src/main/java/net/sf/jabref/external/ExternalFileTypeEntryEditor.java
252	EndnoteImporter	True	src/main/java/net/sf/jabref/importer/fileformat/EndnoteImporter.java
253	DatabaseImporter	True	src/main/java/net/sf/jabref/sql/importer/DatabaseImporter.java
254	WriteXMPAction	True	src/main/java/net/sf/jabref/external/WriteXMPAction.java
255	LabelPatternPanel	True	src/main/java/net/sf/jabref/gui/labelpattern/LabelPatternPanel.java
256	PreviewPrefsTab	True	src/main/java/net/sf/jabref/gui/preftabs/PreviewPrefsTab.java
257	BibtexCaseChanger	True	src/main/java/net/sf/jabref/bst/BibtexCaseChanger.java
258	MainTableDataModel	True	src/main/java/net/sf/jabref/gui/maintable/MainTableDataModel.java
259	FontSelectorDialog	True	src/main/java/net/sf/jabref/gui/preftabs/FontSelectorDialog.java
260	DuplicateCheck	True	src/main/java/net/sf/jabref/model/DuplicateCheck.java
261	OOUtil	True	src/main/java/net/sf/jabref/logic/openoffice/OOUtil.java
262	JabRefCLI	True	src/main/java/net/sf/jabref/cli/JabRefCLI.java
263	ImportMenuItem	True	src/main/java/net/sf/jabref/importer/ImportMenuItem.java
264	XmpPrefsTab	True	src/main/java/net/sf/jabref/gui/preftabs/XmpPrefsTab.java
265	DBConnectDialog	True	src/main/java/net/sf/jabref/sql/DBConnectDialog.java
266	CitationManager	True	src/main/java/net/sf/jabref/gui/openoffice/CitationManager.java
267	SidePaneManager	True	src/main/java/net/sf/jabref/gui/SidePaneManager.java
268	BibtexWidth	True	src/main/java/net/sf/jabref/bst/BibtexWidth.java
269	FromAuxDialog	True	src/main/java/net/sf/jabref/gui/auximport/FromAuxDialog.java
270	OvidImporter	True	src/main/java/net/sf/jabref/importer/fileformat/OvidImporter.java
271	ReplaceStringDialog	True	src/main/java/net/sf/jabref/gui/ReplaceStringDialog.java
272	RegExpFileSearch	True	src/main/java/net/sf/jabref/external/RegExpFileSearch.java
273	GrammarBasedSearchRule	True	src/main/java/net/sf/jabref/logic/search/rules/GrammarBasedSearchRule.java
274	OpenDocumentRepresentation	True	src/main/java/net/sf/jabref/exporter/OpenDocumentRepresentation.java
275	OOCalcDatabase	True	src/main/java/net/sf/jabref/exporter/OOCalcDatabase.java
276	PreambleEditor	True	src/main/java/net/sf/jabref/gui/PreambleEditor.java
277	DuplicateSearch	True	src/main/java/net/sf/jabref/gui/DuplicateSearch.java
278	AutoGroupDialog	True	src/main/java/net/sf/jabref/gui/groups/AutoGroupDialog.java
279	JSONEntryParser	True	src/main/java/net/sf/jabref/importer/fileformat/JSONEntryParser.java
280	MoveFileAction	True	src/main/java/net/sf/jabref/external/MoveFileAction.java
281	FileLinksUpgradeWarning	True	src/main/java/net/sf/jabref/migrations/FileLinksUpgradeWarning.java
282	CustomExportDialog	True	src/main/java/net/sf/jabref/exporter/CustomExportDialog.java
283	GroupAddRemoveDialog	True	src/main/java/net/sf/jabref/gui/groups/GroupAddRemoveDialog.java
284	SilverPlatterImporter	True	src/main/java/net/sf/jabref/importer/fileformat/SilverPlatterImporter.java
285	AutoCompleteSupport	True	src/main/java/net/sf/jabref/gui/autocompleter/AutoCompleteSupport.java
286	BibtexEntryTypes	True	src/main/java/net/sf/jabref/model/entry/BibtexEntryTypes.java
287	DbImportAction	True	src/main/java/net/sf/jabref/sql/importer/DbImportAction.java
288	SpecialMainTableColumns	True	src/main/java/net/sf/jabref/gui/maintable/SpecialMainTableColumns.java
289	GenFieldsCustomizer	True	src/main/java/net/sf/jabref/gui/GenFieldsCustomizer.java
290	ExportCustomizationDialog	True	src/main/java/net/sf/jabref/exporter/ExportCustomizationDialog.java
291	NetworkTab	True	src/main/java/net/sf/jabref/gui/preftabs/NetworkTab.java
292	AdvancedTab	True	src/main/java/net/sf/jabref/gui/preftabs/AdvancedTab.java
293	TextField	True	src/main/java/net/sf/jabref/gui/fieldeditors/TextField.java
294	FileUpdateMonitor	True	src/main/java/net/sf/jabref/collab/FileUpdateMonitor.java
295	ZipFileChooser	True	src/main/java/net/sf/jabref/importer/ZipFileChooser.java
296	AppendDatabaseAction	True	src/main/java/net/sf/jabref/importer/AppendDatabaseAction.java
297	EntryMarker	True	src/main/java/net/sf/jabref/gui/EntryMarker.java
298	UrlDragDrop	True	src/main/java/net/sf/jabref/gui/UrlDragDrop.java
299	PushToEmacs	True	src/main/java/net/sf/jabref/external/push/PushToEmacs.java
300	CleanupAction	True	src/main/java/net/sf/jabref/gui/actions/CleanupAction.java
301	ColorSetupPanel	True	src/main/java/net/sf/jabref/gui/preftabs/ColorSetupPanel.java
302	FileDialogs	True	src/main/java/net/sf/jabref/gui/FileDialogs.java
303	LabelPatternPrefTab	True	src/main/java/net/sf/jabref/gui/preftabs/LabelPatternPrefTab.java
